Symbol,GICS Sector,Exp Return,Risk,Current Price,Weight
NOW,Information Technology,0.0183348187569871,1.5333639454518848,1124.97998046875,0.0040506148617239
SWKS,Information Technology,-0.0196079018095785,1.5503812001096078,91.1999969482422,0.0002553498033086
CDW,Information Technology,-0.0635760464881918,1.232262025281623,195.1300048828125,0.0004184510234137
JBL,Information Technology,0.0404784639544561,1.6732037864672389,173.3300018310547,0.0002913772476143
MSFT,Information Technology,-0.0359668079799487,1.0556222047728998,444.05999755859375,0.0584008785436112
TDY,Information Technology,0.0029363840366923,1.0208257317927694,514.4099731445312,0.0003917584120117
IT,Information Technology,-0.0400265706838112,1.3062650556699502,528.530029296875,0.0006817290778155
JNPR,Information Technology,-0.0005961519460465,0.6218179653072314,39.02999877929688,0.0002218278760321
AVGO,Information Technology,-0.1254532397856589,2.456540235011357,244.6999969482422,0.0185529040232474
TER,Information Technology,-0.0579393323277233,1.9845192284134168,129.9199981689453,0.000369042969679
ZBRA,Information Technology,0.0333025448331713,1.4715818567107346,414.6099853515625,0.0003647369859277
INTU,Information Technology,-0.0159532337743328,1.3902545773235937,597.9500122070312,0.0032401510776038
APH,Information Technology,-0.0102735428554384,1.5120021596168052,77.19000244140625,0.00153091193297
INTC,Information Technology,-0.2875693100215215,2.079472223540549,20.82999992370605,0.0015146801900038
TRMB,Information Technology,0.1195201885553151,1.6036431488185114,77.41999816894531,0.0003147582596476
TEL,Information Technology,-0.1061400732499299,1.03566747393319,154.69000244140625,0.0007732753741703
QRVO,Information Technology,-0.0528060730093885,1.829942559934328,88.94000244140625,0.0001204914025514
STX,Information Technology,-0.0997212882425795,1.5593445013894245,108.19000244140624,0.0003322749738397
PLTR,Information Technology,0.4243698481178821,2.88990909714213,78.9800033569336,0.0033012985229311
QCOM,Information Technology,-0.1078937884032364,1.7969183506679152,172.11000061035156,0.003056010434153
CRWD,Information Technology,-0.0496146008062447,2.4021052799463365,374.9200134277344,0.0016054688566531
PTC,Information Technology,-0.0080320057956931,1.1080540787574102,188.9600067138672,0.0004054115168442
CRM,Information Technology,-0.0117977043822198,1.5083381574368733,333.8800048828125,0.0059168420147283
CTSH,Information Technology,-0.0305569653396598,1.1088506675203509,80.05000305175781,0.0007067713151228
MCHP,Information Technology,-0.2268758033985897,1.9534207933066243,56.38999938964844,0.0005363092003201
CDNS,Information Technology,-0.1775064401455436,1.728298623300539,320.4800109863281,0.001487554968429
MPWR,Information Technology,-0.1120626566051829,2.576055565638505,678.4299926757812,0.0005206180634739
ROP,Information Technology,-0.0724781360800978,1.062355423616666,531.3699951171875,0.0010135940281477
KLAC,Information Technology,-0.0999518131278034,2.2399005742748,749.8200073242188,0.0015145861587321
SMCI,Information Technology,0.0984302755893269,5.043578687995296,33.27000045776367,0.0003328023890524
SNPS,Information Technology,-0.1692842943003226,1.816199276104288,546.1900024414062,0.0013687790286249
KEYS,Information Technology,-0.0571365646872945,1.2977670051909371,172.8800048828125,0.0005085284127635
DELL,Information Technology,-0.0768074125649078,2.4772245533650583,113.7300033569336,0.0014589501544775
LRCX,Information Technology,-0.2598884457825509,2.1518692298067004,79.68000030517578,0.0016618796609002
IBM,Information Technology,0.0783716078846038,1.0297066980015426,224.8000030517578,0.0037157126128858
MSI,Information Technology,0.0244046958891584,0.9062736657437253,479.1799926757813,0.0014129771161556
ANET,Information Technology,0.0580622499820133,1.917892858364589,129.1699981689453,0.0025568019500418
AAPL,Information Technology,0.0691671825162512,1.1930793208308157,222.77999877929688,0.0692091524397274
NTAP,Information Technology,-0.029787943194673,1.4588777177016112,126.0,0.0004332583326292
FICO,Information Technology,0.0337182205456657,1.749533339396711,1814.8499755859373,0.0009159527220365
MU,Information Technology,-0.1943613641832808,2.260994376151586,103.19000244140624,0.0018064848709125
NVDA,Information Technology,-0.0626192190595932,2.676357592546003,142.6199951171875,0.0593496381573215
ACN,Information Technology,-0.0720266562816179,1.1424638192354128,362.4100036621094,0.0041228261620705
ADBE,Information Technology,-0.1023091195761652,1.4746819695805349,435.3800048828125,0.003541476793231
ADI,Information Technology,-0.0665557602512609,1.5835707582091196,217.3699951171875,0.0018909858226522
FSLR,Information Technology,-0.0619858167624651,2.912733123466873,168.25,0.0003513029680628
FTNT,Information Technology,-0.0032135135724619,1.6810404378120567,96.9000015258789,0.0013401975014147
ADSK,Information Technology,0.0177770331950375,1.2462768160915911,300.8299865722656,0.0011558944403128
WDC,Information Technology,-0.0711219811364213,1.9560229810780447,67.41000366210938,0.0003746761871439
GDDY,Information Technology,0.1569910542776564,1.2292908194070982,207.3000030517578,0.0005188270109327
ANSS,Information Technology,-0.1058431071723537,1.1651680869110566,357.3699951171875,0.0005323854581097
EPAM,Information Technology,-0.0928239034855396,1.5428917023813828,252.42999267578125,0.000253346775099
GEN,Information Technology,0.021367934761935,1.3368977133375417,27.440000534057617,0.0003085774905711
ENPH,Information Technology,-0.1658345899093228,2.9996296118099663,63.36000061035156,0.00017367679048
HPQ,Information Technology,0.0397356004782054,1.5265664022283332,32.72999954223633,0.0005557693257165
TXN,Information Technology,-0.0813010043815482,1.3650965344732802,185.5200042724609,0.0030668986069218
TYL,Information Technology,0.0411902394136206,1.2249004171246276,591.9299926757812,0.0004661739571724
HPE,Information Technology,0.0125781603874849,1.8185068703237104,24.3700008392334,0.0005113888130973
FFIV,Information Technology,0.0487304276596467,1.045211741185888,272.989990234375,0.0002660117962337
AMD,Information Technology,-0.3000493763748595,2.3442261101895623,122.83999633789062,0.003480503261541
